Year,Week,Date,Percent of Deaths Due to Pneumonia and Influenza (P&I),"Percent of Deaths Due to Pneumonia, Influenza or COVID-19 (PIC)",Expected,Threshold,All Deaths,Pneumonia Deaths,Influenza Deaths,COVID-19 Deaths,"Pneumonia, Influenza or COVID-19 Deaths (PIC)"
2017,5,1/30/2017,8.219811062,8.219811062,7.45153,7.7897,58432,4452,351,0,4803
2017,6,2/6/2017,8.243842949,8.243842949,7.47373,7.81166,59038,4448,419,0,4867
2017,7,2/13/2017,8.488517246,8.488517246,7.48182,7.81951,58479,4419,545,0,4964
2017,8,2/20/2017,8.533488883,8.533488883,7.47566,7.81311,58288,4369,605,0,4974
2017,9,2/27/2017,8.372921615,8.372921615,7.45529,7.79251,57256,4260,534,0,4794
2017,10,3/6/2017,8.168484785,8.168484785,7.42098,7.75797,57477,4223,472,0,4695
2017,11,3/13/2017,7.900310647,7.900310647,7.37319,7.70994,56656,4100,376,0,4476
2017,12,3/20/2017,7.73073889,7.73073889,7.31258,7.64909,57045,4091,319,0,4410
2017,13,3/27/2017,7.575893578,7.575893578,7.23998,7.57625,55703,3887,333,0,4220
2017,14,4/3/2017,7.409488932,7.409488932,7.1564,7.49244,55159,3821,266,0,4087
2017,15,4/10/2017,7.261989391,7.261989391,7.06302,7.39883,54861,3776,208,0,3984
2017,16,4/17/2017,6.87959299,6.87959299,6.96115,7.29672,53070,3489,162,0,3651
2017,17,4/24/2017,6.657284924,6.657284924,6.85222,7.18755,53295,3458,90,0,3548
2017,18,5/1/2017,6.401807927,6.401807927,6.73776,7.07285,52657,3308,63,0,3371
2017,19,5/8/2017,6.282581514,6.282581514,6.61938,6.95423,51985,3216,50,0,3266
2017,20,5/15/2017,6.200457317,6.200457317,6.49874,6.83335,52480,3201,53,0,3254
2017,21,5/22/2017,6.111198305,6.111198305,6.37754,6.71191,50972,3091,24,0,3115
2017,22,5/29/2017,5.934914937,5.934914937,6.25748,6.59161,51256,3019,23,0,3042
2017,23,6/5/2017,6.114590221,6.114590221,6.14023,6.47412,51418,3127,17,0,3144
2017,24,6/12/2017,6.079099159,6.079099159,6.02744,6.36108,50797,3069,19,0,3088
2017,25,6/19/2017,5.854087313,5.854087313,5.92068,6.25407,51195,2982,15,0,2997
2017,26,6/26/2017,5.855740166,5.855740166,5.82142,6.15457,50617,2954,10,0,2964
2017,27,7/3/2017,5.577032516,5.577032516,5.73103,6.06393,50959,2824,18,0,2842
2017,28,7/10/2017,6.10529686,6.10529686,5.65075,5.9834,49973,3047,4,0,3051
2017,29,7/17/2017,5.515989387,5.515989387,5.58167,5.91407,50127,2755,10,0,2765
2017,30,7/24/2017,5.785827155,5.785827155,5.52472,5.85687,49362,2853,3,0,2856
2017,31,7/31/2017,5.388623795,5.388623795,5.48064,5.81253,50087,2695,4,0,2699
2017,32,8/7/2017,5.43225113,5.43225113,5.44999,5.78162,50237,2723,6,0,2729
2017,33,8/14/2017,5.380093654,5.380093654,5.43312,5.7645,50185,2689,11,0,2700
2017,34,8/21/2017,5.579901852,5.579901852,5.43022,5.76133,49517,2756,7,0,2763
2017,35,8/28/2017,5.356861819,5.356861819,5.44122,5.77207,50832,2716,7,0,2723
2017,36,9/4/2017,5.564818266,5.564818266,5.4659,5.79648,50981,2825,12,0,2837
2017,37,9/11/2017,5.85754633,5.85754633,5.5038,5.83412,51694,3021,7,0,3028
2017,38,9/18/2017,5.760296701,5.760296701,5.55431,5.88435,51230,2935,16,0,2951
2017,39,9/25/2017,5.661920807,5.661920807,5.61661,5.94638,51343,2888,19,0,2907
2017,40,10/2/2017,5.829975053,5.829975053,5.6897,6.0192,52110,3022,16,0,3038
2017,41,10/9/2017,5.853270774,5.853270774,5.77246,6.10169,51578,3001,18,0,3019
2017,42,10/16/2017,6.096346787,6.096346787,5.86361,6.19256,52228,3156,28,0,3184
2017,43,10/23/2017,6.283778641,6.283778641,5.96175,6.29042,52548,3279,23,0,3302
2017,44,10/30/2017,6.056372138,6.056372138,6.06537,6.39377,53679,3215,36,0,3251
2017,45,11/6/2017,6.055428293,6.055428293,6.17292,6.50103,53258,3180,45,0,3225
2017,46,11/13/2017,6.258020122,6.258020122,6.28275,6.61059,53771,3315,50,0,3365
2017,47,11/20/2017,6.005173688,6.005173688,6.39322,6.72077,54120,3202,48,0,3250
2017,48,11/27/2017,6.530314098,6.530314098,6.50265,6.82992,54760,3493,83,0,3576
2017,49,12/4/2017,6.558143718,6.558143718,6.6094,6.93639,55595,3528,118,0,3646
2017,50,12/11/2017,6.839811748,6.839811748,6.71186,7.03857,57370,3759,165,0,3924
2017,51,12/18/2017,7.303587934,7.303587934,6.8085,7.13492,59505,3987,359,0,4346
2017,52,12/25/2017,8.330332297,8.330332297,6.89785,7.22399,61090,4418,671,0,5089
2018,1,1/1/2018,9.55786736,9.55786736,6.97857,7.30443,66134,5156,1165,0,6321
2018,2,1/8/2018,10.54744796,10.54744796,7.04945,7.37502,67495,5583,1536,0,7119
2018,3,1/15/2018,10.8869845,10.8869845,7.10941,7.43469,64646,5412,1626,0,7038
2018,4,1/22/2018,10.56865244,10.56865244,7.15753,7.48253,62780,5187,1448,0,6635
2018,5,1/29/2018,10.22895004,10.22895004,7.19307,7.51779,60974,4877,1360,0,6237
2018,6,2/5/2018,9.707085583,9.707085583,7.21548,7.53992,61110,4689,1243,0,5932
