Date,Value
200310,2.69
200311,2.45
200312,2.25
200401,2.28
200402,5.25
200403,1.02
200404,2.22
200405,1.77
200406,7.94
200407,6.91
200408,9.85
200409,12.52
200410,2.57
200411,2.49
200412,2.4
200501,1.76
200502,2.47
200503,5.73
200504,4.96
200505,3.96
200506,11.09
200507,7.22
200508,7.04
200509,4.29
200510,4.84
200511,2.88
200512,3.24
200601,1.47
200602,4.08
200603,0.43
200604,1.44
200605,2.67
200606,5.57
200607,6.27
200608,6.76
200609,5.25
200610,1.97
200611,1.85
200612,3.24
200701,2.53
200702,2.41
200703,1.24
200704,2.15
200705,1.37
200706,6.11
200707,7.5
200708,4.94
200709,6.2
200710,5.64
200711,1.16
200712,2.47
200801,2.85
200802,4.13
200803,3.39
200804,3.41
200805,1.58
200806,6.65
200807,8.1
200808,12.77
200809,3.19
200810,3.64
200811,1.39
200812,2.03
200901,1.85
200902,1.32
200903,2.78
200904,3.72
200905,8.91
200906,6.03
200907,6.65
200908,6.46
200909,5.88
200910,2.22
200911,2.24
200912,5.71
201001,4.23
201002,3.7
201003,5.87
201004,2.75
201005,4.22
201006,5.24
201007,6
201008,8.16
201009,4.33
201010,0.44
201011,2.07
201012,1.11
201101,4.24
201102,1.93
201103,4.06
201104,2.16
201105,1.61
201106,4.74
201107,6.96
201108,6.65
201109,5.53
201110,5.73
201111,1.41
201112,1.75
201201,1.13
201202,2.53
201203,2.34
201204,2.63
201205,5.29
201206,12.57
201207,5.84
201208,10.38
201209,5.59
201210,3.65
201211,0.43
201212,2.71
201301,0.8
201302,4.43
201303,1.94
201304,3.96
201305,4.62
201306,8.63
201307,11.68
201308,7.56
201309,6.05
201310,1.58
201311,3.11
201312,2.51
201401,3.91
201402,3.52
201403,5.2
201404,5.29
201405,4.74
201406,5.88
201407,7.18
201408,5.24
201409,8.85
201410,2.48
201411,4.06
201412,2.78
201501,2.84
201502,3.23
201503,2
201504,4.28
201505,2.39
201506,6.05
201507,7.83
201508,8.44
201509,6.67
201510,1.84
201511,3.8
201512,3.49
201601,6.05
201602,3.25
201603,3.43
201604,2.93
201605,4.62
201606,7.11
201607,4.87
201608,8.12
201609,7.43
201610,2.67
201611,0.21
201612,2.72
201701,3.71
201702,1.88
201703,1.24
201704,2.23
201705,3.84
201706,12.26
201707,7.57
201708,8.52
201709,8.87
201710,5.19
201711,1.64
201712,1.68
201801,2.96
201802,2.4
201803,2.15
201804,3.74
201805,9.31
201806,6.59
201807,8.4
201808,7.61
201809,4.91
201810,2.12
201811,3.15
201812,7.18
201901,3.98
201902,1.98
201903,1.94
201904,3.12
201905,3.41
201906,7.99
201907,7.53
201908,8.79
201909,1.73
201910,5.16
201911,1.83
201912,4.64
202001,1.57
202002,3.48
202003,0.53
202004,4.31
202005,5.25
202006,7.19
202007,7.99
202008,7.92
202009,9.3
202010,4.26
202011,3.85
202012,2.33
202101,1.79
202102,4.12
202103,1.74
202104,4.55
202105,1.53
202106,8.48
202107,8.86
202108,8.75
202109,7.07
202110,3.9
202111,2.88
202112,1.71
202201,2.27
202202,1.19
202203,5.42
202204,3.27
202205,4.63
202206,6.7
202207,7.48
