OBJECTID,STATUS,COUNTY,NAME,BEGINNING_RANGE,ENDING_RANGE,STATE_PLANE_ZONE,COMMENTS,SHAPELEN
181,Critical,St. Johns,South Ponte Vedra Beach,R076,R-117.5,East,,13159.8074138064
182,Critical,St. Johns,Anastasia SP,R123,R128,East,,1708.54616734166
183,Critical,St. Johns,Conch/Anastasia Islands,R132,R152,East,,6163.52949836377
184,Noncritical,St. Johns,Anastasia Island,R193.5,R196,East,,793.169776838536
185,Critical,St. Johns,Beaches south of Matanzas Inlet,R197,R209,East,,3779.46605699426
186,Critical,Flagler,Marineland,R001,R004,East,,927.957650395922
187,Critical,Flagler,Painters Hill,R050,R057,East,,1748.51504493314
188,Critical,Flagler,Beverly Beach,R065.2,R100.9,East,,10390.3418903677
189,Critical,Franklin,St. George Island,R052,R059.6,North,,2565.5950712052
190,Critical,Pinellas,Sand Key,R115.4,R120,West,,1486.94838091348
191,Critical,Monroe,Simonton Beach,Simonton Beach,Simonton Beach,East,,35.6616466748242
192,Critical,Volusia,North Peninsula,R000,R004,East,,869.59356096584
